start,end,line
0:24:00.280,0:24:06.82,3/3 load and then ultimately Kim and I

0:24:04.600,0:24:10.00,split the job and each talked to two and

0:24:06.820,0:24:13.33,it was fine that was great but then the

0:24:10.000,0:24:15.28,position opened up here and the only

0:24:13.330,0:24:16.36,other place I was really interested or

0:24:15.280,0:24:20.29,would have been interested in going

0:24:16.360,0:24:21.85,would have been Montana yeah and but I

0:24:20.290,0:24:23.59,love Moscow and I love Idaho and I've

0:24:21.850,0:24:27.91,been here for a long time so when this

0:24:23.590,0:24:30.49,job came along I I snapped it up hey

0:24:27.910,0:24:35.20,what year was that 1999 was my first

0:24:30.490,0:24:37.84,year at U of I how long had I think was

0:24:35.200,0:24:39.85,three years old then 96 was the first

0:24:37.840,0:24:43.87,year they admitted students made name in

0:24:39.850,0:24:46.18,97 I can't remember now so it's still a

0:24:43.870,0:24:49.81,pretty young program really yeah you

0:24:46.180,0:24:51.85,have anything occurs for most of it yeah

0:24:49.810,0:24:54.85,and so then you've been we've been out

0:24:51.850,0:24:59.32,here since then basically in the same

0:24:54.850,0:25:01.27,position same job and over this time

0:24:59.320,0:25:04.03,you've written can you kind of talk

0:25:01.270,0:25:09.07,about you've written like 70 look let's

0:25:04.030,0:25:13.81,see 99 the year I the year I was hired I

0:25:09.070,0:25:15.43,published reign of snakes the year I was

0:25:13.810,0:25:17.74,hired here I published dragon snakes

0:25:15.430,0:25:19.12,so since reign of snakes we got that one

0:25:17.740,0:25:25.84,although it was written while I was

0:25:19.120,0:25:29.08,teaching at LC so I've published ring of

0:25:25.840,0:25:30.79,snakes lives and the animals earthly

0:25:29.080,0:25:33.40,meditations beautiful country and now

0:25:30.790,0:25:37.41,anatomy of melancholy five five books

0:25:33.400,0:25:37.41,inside Bennett at U of I

0:25:37.880,0:25:42.32,okay so that's sort of a general

0:25:40.610,0:25:43.52,overview and then I'd like to kind of

0:25:42.320,0:25:46.70,start about your writing process

0:25:43.520,0:25:49.37,generally and I've got it kind of broken

0:25:46.700,0:25:52.88,into three portions one being kind of

0:25:49.370,0:25:55.78,the tops of compositional spots like

0:25:52.880,0:25:59.33,prewriting those kind of development of

0:25:55.789,0:26:01.49,work into its first draft and then the

0:25:59.330,0:26:03.14,next being sort of revisional with how

0:26:01.490,0:26:04.66,do you revise federal talk and that'll

0:26:03.140,0:26:06.35,be kind of the next thing and then the

0:26:04.669,0:26:08.75,third process being an organizational

0:26:06.350,0:26:10.46,archival if that doesn't make sense with

0:26:08.750,0:26:11.80,your writing process we can write a talk

0:26:10.460,0:26:13.73,about it differently that's just how I

0:26:11.809,0:26:14.53,have what we'll see see how because it

0:26:13.730,0:26:17.65,sounds fine to me

0:26:14.539,0:26:21.46,okay so when you first started writing

0:26:17.659,0:26:23.90,in Reverse maybe you know in Montana and

0:26:21.460,0:26:26.24,in the first sort of stages of the

0:26:23.900,0:26:29.48,career how what how did you kind of go

0:26:26.240,0:26:31.34,about writing a poem how did you kind of

0:26:29.480,0:26:33.65,get the idea how did you pre write if

0:26:31.340,0:26:36.28,you draft etc so that's sort of my first

0:26:33.650,0:26:39.50,question yeah I kept I have always and I

0:26:36.289,0:26:42.02,don't know where I have piles in these

0:26:39.500,0:26:44.33,little fellows in a moleskin a or

0:26:42.020,0:26:49.70,however one pronounces that I can never

0:26:44.330,0:26:51.02,tell I probably have 250 of these piled

0:26:49.700,0:26:54.53,somewhere I think they're in a box in

0:26:51.020,0:26:59.00,the house and they're they're just the

0:26:54.530,0:27:00.89,places where when I get an idea or an

0:26:59.000,0:27:05.39,image occurs to me or a phrase where I

0:27:00.890,0:27:07.85,see some phrase I I make a note I make

0:27:05.390,0:27:10.66,my that first note so that when I come

0:27:07.850,0:27:12.49,out here or where I go wherever it was I

0:27:10.669,0:27:14.48,was I happen to be doing the writing

0:27:12.490,0:27:16.25,anywhere along the way which was

0:27:14.480,0:27:19.66,sometimes at a kitchen table you never

0:27:16.250,0:27:22.73,knew back years ago I didn't have a

0:27:19.669,0:27:24.95,space to write it I had this one or the

0:27:22.730,0:27:27.98,most recent couple of these to just

0:27:24.950,0:27:31.30,consult just to sort of trip on the

0:27:27.980,0:27:35.05,switch sometimes though I mean you

0:27:31.309,0:27:36.86,exhaust those things or nothing in the

0:27:35.059,0:27:39.28,little notebook interest to me so I just

0:27:36.860,0:27:42.59,come out and that's why this there's

0:27:39.289,0:27:44.99,this pile of books here on on the futon

0:27:42.590,0:27:46.49,they are all books I've pulled down as

0:27:44.990,0:27:51.26,well as a little pilot I brought back

0:27:46.490,0:27:53.17,from Italy and Italy England I'll just

0:27:51.260,0:27:55.64,come out and I'll look at the shelves

0:27:53.179,0:27:58.61,and pull a book off the shelves almost

0:27:55.640,0:28:00.23,at random I mean sometimes I have no

0:27:58.610,0:28:02.12,idea what book it is I'm reaching for

0:28:00.230,0:28:04.54,it's just something about the color will

0:28:02.120,0:28:06.20,appeal to me and I'll open up open it up

0:28:04.549,0:28:08.57,some through it look for a poem or look

0:28:06.200,0:28:10.78,for a word a title of phrase anything

0:28:08.570,0:28:11.80,that just turns on a switch that just

0:28:10.789,0:28:13.85,gets me started

0:28:11.809,0:28:18.16,mostly it's always seemed to me that the

0:28:13.850,0:28:20.27,only way I can get started is to just

0:28:18.169,0:28:22.30,start putting words on paper so that's

0:28:20.270,0:28:28.90,when I turn to this to this notebook

0:28:22.309,0:28:30.95,seems far less effective to me to sit

0:28:28.909,0:28:32.72,down at the computer and try to begin

0:28:30.950,0:28:34.97,composing what I don't have anything in

0:28:32.720,0:28:37.46,particular on my mind whereas in the

0:28:34.970,0:28:40.49,notebook itself you can you can or I can

0:28:37.460,0:28:42.71,doodle I can write a phrase I can just

0:28:40.490,0:28:44.02,sort of noodle around the way out you

0:28:42.710,0:28:46.57,know the way a musician would noodle

0:28:44.029,0:28:49.66,around with a musical phrase to see

0:28:46.570,0:28:52.39,where it leads me and and you know I've

0:28:49.669,0:28:55.10,always believed that writing begets

0:28:52.399,0:28:57.16,writing so that the more I noodle around

0:28:55.100,0:28:59.12,something eventually is going to

0:28:57.169,0:29:03.16,interest me something eventually is

0:28:59.120,0:29:05.36,going to to find a way to connect with

0:29:03.169,0:29:08.55,the next thing the next word the next

0:29:05.360,0:29:09.83,phrase or it kind of moved toward an

0:29:08.559,0:29:11.39,idea

0:29:09.830,0:29:13.07,I hate using the word idea though

0:29:11.390,0:29:14.75,talking talking about poems because some

0:29:13.070,0:29:16.66,people you know people always ask things

0:29:14.750,0:29:18.44,like and they tend to be people who've

0:29:16.669,0:29:19.76,never really written before or who are

0:29:18.440,0:29:20.77,at the beginning of trying to write

0:29:19.760,0:29:22.58,they'll say where do you get your ideas

0:29:20.779,0:29:25.94,for poems and I always want to say what

0:29:22.580,0:29:28.42,ideas where because they tend not to

0:29:25.940,0:29:31.01,come from from ideas they tend to come

0:29:28.429,0:29:33.71,from words or phrases or images or

0:29:31.010,0:29:35.89,something I've seen outside the outside

0:29:33.710,0:29:38.59,the window that's why I don't know about

0:29:35.899,0:29:43.42,who is it who is here most recently ah

0:29:38.590,0:29:45.47,wide Hirsch came out here showed me my

0:29:43.429,0:29:47.02,space he said the desk I said I I

0:29:45.470,0:29:50.27,couldn't write here all I do is look out

0:29:47.029,0:29:51.40,the window well it's true I spend a lot

0:29:50.270,0:29:53.12,of time looking out the window but

0:29:51.409,0:29:55.85,that's just my way of inviting what was

0:29:53.120,0:29:58.82,side into the poems and those kinds of

0:29:55.850,0:30:02.42,things are what occurred to me as

0:29:58.820,0:30:04.25,language somehow the lens of the writing

0:30:02.420,0:30:06.68,studio the lens that is my eyes an

0:30:04.250,0:30:08.60,imagination of language can convert what

0:30:06.680,0:30:11.95,it is I see into some kind of a phrase

0:30:08.600,0:30:16.79,that's useful and I can build with um

0:30:11.950,0:30:18.11,what is so you know books into this

0:30:16.790,0:30:21.41,notebook which could you describe what

0:30:18.110,0:30:23.12,the network is yeah this is a what is

0:30:21.410,0:30:25.94,one of the colonies this is the gemstone

0:30:23.120,0:30:29.36,collection and this is mostly what I've

0:30:25.940,0:30:31.34,been using for the last well 20 years I

0:30:29.360,0:30:34.67,was teaching at the University of Oregon

0:30:31.340,0:30:36.55,for a year and the graduate students

0:30:34.670,0:30:38.57,bought me one of these and I and I and I

0:30:36.559,0:30:44.15,loved it so much that I'm buying these

0:30:38.570,0:30:48.47,ever since and that's when I really

0:30:44.150,0:30:50.63,start getting getting movement toward a

0:30:48.470,0:30:53.57,poem to happen and it used to be as I

0:30:50.630,0:30:57.05,said hold homes would happen dog in

0:30:53.570,0:31:00.74,those notebooks now it can be a stanza

0:30:57.050,0:31:03.71,it can be 20 or 30 or 50 lines if it's

0:31:00.740,0:31:07.82,along a longer thing when I'll get

0:31:03.710,0:31:09.98,impatient with the sort of the the

0:31:07.820,0:31:14.03,slowness of the process writing my

0:31:09.980,0:31:16.58,always ready to pencil and and I'll go

0:31:14.030,0:31:18.95,to the computer or I'll get stopped I

0:31:16.580,0:31:20.66,won't know where to go I mean you know

0:31:18.950,0:31:22.10,what this is like yeah you just okay

0:31:20.660,0:31:23.21,what's the next thing that happens in

0:31:22.100,0:31:27.50,this poem and I don't know

0:31:23.210,0:31:31.97,and somehow converting the handwritten

0:31:27.500,0:31:34.33,text to text on the computer screen and

0:31:31.970,0:31:39.05,it was with the typewriter even before

0:31:34.330,0:31:41.90,can allow you to see things about its

0:31:39.050,0:31:43.52,structure or about its its movement that

0:31:41.900,0:31:46.61,you might not have seen while you're in

0:31:43.520,0:31:49.85,the midst of it it's almost like the

0:31:46.610,0:31:52.91,handwriting became something I did that

0:31:49.850,0:31:54.83,swallowed me and I had to escape from

0:31:52.910,0:31:57.92,the handwriting and put things down

0:31:54.830,0:31:59.93,on the computer screen let's say now in

0:31:57.920,0:32:03.20,order to have some sense of what might

0:31:59.930,0:32:04.43,come next and so before you were using

0:32:03.200,0:32:06.83,the computer you were using the

0:32:04.430,0:32:09.95,typewriter in the same similar yeah yeah

0:32:06.830,0:32:11.42,I had I had an IBM Selectric I guess

0:32:09.950,0:32:13.58,even before that I had some other kind

0:32:11.420,0:32:15.37,of electric typewriter but uh and I

0:32:13.580,0:32:17.75,would type it up as far as I could go

0:32:15.370,0:32:20.00,and then wait and see what would happen

0:32:17.750,0:32:24.77,usually what that meant was that it

0:32:20.000,0:32:26.39,would I I take the the pull model that

0:32:24.770,0:32:30.47,the typewriter as far as it went

0:32:26.390,0:32:32.03,and write it back down longhand in the

0:32:30.470,0:32:33.41,notebook but it would look different it

0:32:32.030,0:32:36.35,would I would have shaped it differently

0:32:33.410,0:32:40.10,because looking at it on this on the

0:32:36.350,0:32:43.58,screen gives it the appearance more of a

0:32:40.100,0:32:45.83,kind of permanence which is dangerous I

0:32:43.580,0:32:48.32,think it's danger it would have been

0:32:45.830,0:32:52.58,dangerous for me in the beginning I

0:32:48.320,0:32:55.16,think to compose on a word processor or

0:32:52.580,0:32:58.25,a typewriter because it might have given

0:32:55.160,0:33:01.97,me this inclination toward a particular

0:32:58.250,0:33:03.41,kind of structure that in fact was that

0:33:01.970,0:33:07.58,would not have been as interesting or

0:33:03.410,0:33:10.49,its evocative to me now you know I'm

0:33:07.580,0:33:12.65,perfectly comfortable just looking at

0:33:10.490,0:33:15.11,lines on the computer screen and saying

0:33:12.650,0:33:16.67,wait a minute why am i why are these

0:33:15.110,0:33:20.63,lines the way they are and I'm a

0:33:16.670,0:33:23.09,compulsive syllable counter even if

0:33:20.630,0:33:24.92,ultimately in revisions I wind up

0:33:23.090,0:33:29.15,exercising syllables are adding

0:33:24.920,0:33:32.00,syllables I like composing say a deck of

0:33:29.150,0:33:34.88,syllabic line just to just to force me

0:33:32.000,0:33:40.76,into manipulating syntax to keep the

0:33:34.880,0:33:42.59,right margin mattering and and somehow

0:33:40.760,0:33:45.80,finding a that way of moving to calm

0:33:42.590,0:33:48.56,down the page it so when you win this

0:33:45.800,0:33:51.35,one a low first question is when did you

0:33:48.560,0:33:54.05,start using a computer to do these

0:33:51.350,0:33:55.43,things and then secondly what was there

0:33:54.050,0:33:56.81,anything that changed when you move from

0:33:55.430,0:33:58.52,typewriters computer was there a

0:33:56.810,0:34:01.43,different feeling a different service I

0:33:58.520,0:34:04.22,mean instead of about yeah III think

0:34:01.430,0:34:06.50,that in the beginning

0:34:04.220,0:34:10.09,and this probably would have been let's

0:34:06.500,0:34:16.39,see I got my first computer in the fall

0:34:10.099,0:34:18.37,of 1995 and I really honestly that this

0:34:16.399,0:34:21.57,is a so compute shortest imputed it had

0:34:18.379,0:34:26.35,a which I still have still works a

0:34:21.579,0:34:30.56,compact a little tiny laptop as we

0:34:26.359,0:34:34.27,called them then they've had a minimal

0:34:30.560,0:34:34.27,harddrive I think I nearly filled it up

0:34:34.869,0:34:39.20,but I think I kind of used it really as

0:34:37.099,0:34:41.24,just a sort of glorified typewriter with

0:34:39.200,0:34:43.57,a little screen is black and white

0:34:41.240,0:34:48.50,screen I mean there was nothing special

0:34:43.579,0:34:50.41,as a piece of technology so I used it as

0:34:48.500,0:34:52.28,a not so special piece of technology

0:34:50.419,0:34:54.53,kind of like a typewriter except that

0:34:52.280,0:34:57.34,you know you can save it and go back to

0:34:54.530,0:35:00.34,it and find it just the way you left it

0:34:57.349,0:35:01.57,and not have to type it completely in or

0:35:00.349,0:35:04.19,not have to go from the typewritten

0:35:01.579,0:35:08.56,sheet back to the notebook so there is a

0:35:04.190,0:35:10.09,kind of step that gets left out that was

0:35:08.569,0:35:13.13,the first time I started leaving out the

0:35:10.099,0:35:15.29,step of writing my hand then going to

0:35:13.130,0:35:16.73,the computer and then going back to the

0:35:15.290,0:35:21.41,typewriter then going back from the

0:35:16.730,0:35:23.32,typewritten sheet to the to longhand in

0:35:21.410,0:35:25.28,a way I suppose the best thing I could

0:35:23.329,0:35:27.20,have the thing I thought was best about

0:35:25.280,0:35:31.33,that part of the process when the

0:35:27.200,0:35:34.09,computer came along was it it saved time

0:35:31.339,0:35:36.26,I could I could immediately just look at

0:35:34.099,0:35:38.99,it on the screen go back to longhand and

0:35:36.260,0:35:40.97,then add what I'd written longhand on to

0:35:38.990,0:35:44.75,whatever I'd already saved on the

0:35:40.970,0:35:46.88,computer but it kept me from writing

0:35:44.750,0:35:49.46,everything back down and for a long time

0:35:46.880,0:35:53.21,I wondered about well what am I missing

0:35:49.460,0:35:55.25,there what might I what might I not have

0:35:53.210,0:35:56.75,seen that I would have seen if I'd been

0:35:55.250,0:36:00.94,writing in longhand and I used to say

0:35:56.750,0:36:03.29,things like the reason I keep writing

0:36:00.940,0:36:07.52,longhand or printing actually I print

0:36:03.290,0:36:10.94,this stuff is that it allows me to feel

0:36:07.520,0:36:14.61,the shapes of the letters themselves

0:36:10.940,0:36:16.84,it allows you to dispense words

0:36:14.619,0:36:18.55,incrementally and syllables not that the

0:36:16.849,0:36:21.70,typewriter the computer is any different

0:36:18.559,0:36:23.39,except that it is you sort of hear the

0:36:21.709,0:36:25.24,syllables more when you're writing it

0:36:23.390,0:36:28.54,out longhand or you certainly feel them

0:36:25.249,0:36:31.27,more when you're writing longhand but

0:36:28.549,0:36:34.21,eventually I began to see that and I

0:36:31.279,0:36:36.34,think Kim was part of the part of what

0:36:34.219,0:36:40.60,helped me see that you just said no

0:36:36.349,0:36:42.68,that's just silly why would why would

0:36:40.609,0:36:46.24,that really change anything I don't you

0:36:42.680,0:36:49.60,know you're right it doesn't change much

0:36:46.249,0:36:53.20,of anything so I began to be a whole lot

0:36:49.609,0:36:56.18,more comfortable than with with just

0:36:53.209,0:37:00.44,moving from in sort of one fell swoop

0:36:56.180,0:37:02.05,from the handwritten text to the to the

0:37:00.440,0:37:04.33,text on the computer which I would then

0:37:02.059,0:37:06.34,print out and then do extensive

0:37:04.339,0:37:07.51,revisions on arrows things crossed out

0:37:06.349,0:37:11.63,that sort of thing

0:37:07.519,0:37:13.83,oh sections crossed out so I guess you

0:37:11.630,0:37:17.18,can come move into sort of talking about

0:37:13.839,0:37:18.73,revision general exam and so you're

0:37:17.180,0:37:20.93,talking about how you probably take your

0:37:18.739,0:37:23.05,revision on the computer and the

0:37:20.930,0:37:25.81,differences between you are moving back

0:37:23.059,0:37:30.31,and forth more with the typewriter are

0:37:25.819,0:37:32.02,this sort of I guess what were your

0:37:30.319,0:37:34.06,practices when you first started I mean

0:37:32.029,0:37:38.83,like how did you kind of learn how to

0:37:34.069,0:37:45.31,revise that's a really good question

0:37:38.839,0:37:47.86,no I tell the students the graduate

0:37:45.319,0:37:50.26,students that I'm gonna hate to revise I

0:37:47.869,0:37:51.70,said um you can't hate to realise you

0:37:50.269,0:37:55.19,have to love to revise because that's

0:37:51.709,0:37:57.04,like most of the job ah you know if you

0:37:55.190,0:37:59.53,hate to revise it's like hating writing

0:37:57.049,0:38:05.18,because that's what that's really what

0:37:59.539,0:38:07.03,writing is and there came an end and I

0:38:05.180,0:38:09.61,like to tell them my own experience

0:38:07.039,0:38:13.91,which was that when in the beginning as

0:38:09.619,0:38:18.51,it were ah I didn't realize it but I

0:38:13.910,0:38:21.46,preferred to have written to writing I

0:38:18.519,0:38:23.23,really loved the finished product or

0:38:21.469,0:38:27.54,what I perceived as the finished product

0:38:23.239,0:38:30.97,which is the same a final in quotes

0:38:27.549,0:38:32.55,draft of a poem that's that's the part I

0:38:30.979,0:38:36.79,loved most

0:38:32.559,0:38:40.15,somewhere along the line I began to

0:38:36.799,0:38:42.65,prefer the process to the product

0:38:40.150,0:38:44.69,because that's that's the place where

0:38:42.650,0:38:46.90,all the excitement happens that the

0:38:44.690,0:38:53.90,place where you you surprise yourself

0:38:46.900,0:38:57.09,and the the process of revision is

0:38:53.900,0:39:00.17,certainly made so much more fluid and

0:38:57.099,0:39:03.07,Swift with the computer than it ever

0:39:00.170,0:39:05.77,could have been with writing longhand or

0:39:03.079,0:39:08.53,or or and then moving to the computer

0:39:05.779,0:39:11.74,it's so easy to drag-and-drop to cut and

0:39:08.539,0:39:14.23,paste with a computer that it's it's

0:39:11.749,0:39:15.97,sort of staggering to to try to remember

0:39:14.239,0:39:19.48,what it was like in the beginning

0:39:15.979,0:39:21.97,putting together a book manuscript I my

0:39:19.489,0:39:24.41,first book manuscript that penguin

0:39:21.979,0:39:25.09,published I mean I that was all typed on

0:39:24.410,0:39:27.94,a typewriter

0:39:25.099,0:39:30.14,without page numbers which are then

0:39:27.949,0:39:32.15,penciled in I thought about winding and

0:39:30.140,0:39:34.03,ballin in typewriter typing in page

0:39:32.150,0:39:36.97,numbers so I thought this is insane and

0:39:34.039,0:39:40.21,drive me nuts so I does it had

0:39:36.979,0:39:42.17,handwritten page numbers on it when I

0:39:40.219,0:39:43.84,put together that book manuscript and

0:39:42.170,0:39:45.76,now of course it's just such a breeze

0:39:43.849,0:39:50.83,that computer will automatically do all

0:39:45.769,0:39:54.70,that stuff for you I don't think that it

0:39:50.839,0:39:57.55,changes much about the way I compose but

0:39:54.709,0:40:02.34,there are some I

0:39:57.559,0:40:04.57,I think extraordinary is a big bug

0:40:02.349,0:40:07.21,there's some great advantages about

0:40:04.579,0:40:11.34,seeing it on the screen in the computer

0:40:07.219,0:40:14.79,there's a poem in anatomy and melancholy

0:40:11.349,0:40:14.79,that is

0:40:18.259,0:40:28.10,idiot let me find it

0:40:23.209,0:40:32.57,it's called earthquake light let's see

0:40:28.109,0:40:32.86,it one two three four five six seven

0:40:32.579,0:40:37.97,eight

0:40:32.869,0:40:40.28,turrets since 24 line originally and the

0:40:37.979,0:40:43.43,first draft in this formuoli dress in

0:40:40.289,0:40:46.19,this moment was in six quatrains not

0:40:43.439,0:40:48.26,metrons different about it and if you

0:40:46.199,0:40:50.48,look at it when it was divided into

0:40:48.269,0:40:51.50,quadrant more or less the same structure

0:40:50.489,0:40:53.60,than it is now

0:40:51.509,0:40:55.25,the first quatrain ended with a period

0:40:53.609,0:40:57.35,that is to say that the period at the

0:40:55.259,0:41:02.51,end of he has now line one stands at two

0:40:57.359,0:41:04.89,and I looked at it on the page on the

0:41:02.519,0:41:08.42,computer screen for a long time before I

0:41:04.890,0:41:12.23,realized that you know wait a minute I

0:41:08.420,0:41:14.48,sort of liked the idea that I that the

0:41:12.239,0:41:16.31,quatrain the first quatrain ends with

0:41:14.489,0:41:19.38,the period which sort of establishes

0:41:16.319,0:41:21.29,this undeniable hardness of the quatrain

0:41:19.380,0:41:23.81,it's a structural unit but then I

0:41:21.299,0:41:25.38,thought to myself what happens if I

0:41:23.819,0:41:26.84,break this into terse is because like

0:41:25.380,0:41:31.01,it's the same number of lines I can

0:41:26.849,0:41:33.98,great break it into a different number

0:41:31.019,0:41:35.45,of turrets and still have the poem be

0:41:33.989,0:41:37.85,comprised in the same number of lines

0:41:35.459,0:41:39.66,and it changed everything about the poem

0:41:37.859,0:41:42.15,having that poem broken into turrets

0:41:39.660,0:41:45.17,instead of quatrains and that was so

0:41:42.150,0:41:47.99,easy to do and so easy to examine to

0:41:45.179,0:41:50.81,test with the computer I mean just

0:41:47.999,0:41:53.06,backspace here space here yeah return

0:41:50.819,0:41:57.29,here just did that look at it go

0:41:53.069,0:41:59.27,okay bingo and that sort of thing I

0:41:57.299,0:42:01.97,think it is is one of the great things

0:41:59.279,0:42:04.28,that that that part of the technology of

0:42:01.979,0:42:05.99,the computer helps to facilitate it

0:42:04.289,0:42:09.32,allows you to see those possibilities

0:42:05.999,0:42:12.35,should if I'd had to completely retype

0:42:09.329,0:42:14.88,the thing in intercept Cermak what I

0:42:12.359,0:42:15.86,have done it probably I would have done

0:42:14.880,0:42:20.60,it but it would have been a much more

0:42:15.869,0:42:22.79,arduous thing and and it might not have

0:42:20.609,0:42:24.30,occurred to me simply because the so

0:42:22.799,0:42:28.38,voice Alliance is equal

0:42:24.300,0:42:30.06,that I can break so it's it's a that I

0:42:28.380,0:42:34.76,think is one of the great things about

0:42:30.060,0:42:37.83,the technology there are any sort of I

0:42:34.760,0:42:39.75,guess what sort of mode is your revision

0:42:37.830,0:42:41.10,and what if there's a bit of phrasing on

0:42:39.750,0:42:43.08,the books and reading which was your

0:42:41.100,0:42:46.14,primary mode of textual changes it's an

0:42:43.080,0:42:50.58,Englishwoman so and she was sort of

0:42:46.140,0:42:53.16,describing sort of TS Eliot versus Pound

0:42:50.580,0:42:55.71,being CFL opinions were sort of

0:42:53.160,0:42:57.03,subtractive and pounding for de creus

0:42:55.710,0:42:58.59,and that just you know more and more or

0:42:57.030,0:43:00.75,there's also sort of substituted

0:42:58.590,0:43:02.49,substituted sort of mode as well it's a

0:43:00.750,0:43:05.85,one of those fit your mode or is he

0:43:02.490,0:43:08.61,oh I'm subtracting okay absolutely I

0:43:05.850,0:43:10.56,mean I am but I should get if she

0:43:08.610,0:43:13.47,weren't so old and weren't taking care

0:43:10.560,0:43:14.82,of my my father 24/7 I would have my

0:43:13.470,0:43:18.03,mother who always embroidered

0:43:14.820,0:43:20.28,embroidered me a little sample that I

0:43:18.030,0:43:28.80,could hang on the wall that says cutting

0:43:20.280,0:43:31.98,is virtue because it is and and I'm and

0:43:28.800,0:43:34.26,I buy I think I may be part of the

0:43:31.980,0:43:35.07,lineage of poets who sometimes can't

0:43:34.260,0:43:38.76,shut up

0:43:35.070,0:43:40.32,I love Dryden I love Pope but I can only

0:43:38.760,0:43:41.91,take them for about a hundred two

0:43:40.320,0:43:44.22,hundred lines at a time and I got to go

0:43:41.910,0:43:46.23,lie down because they just did not know

0:43:44.220,0:43:47.88,when to be quiet they did not know when

0:43:46.230,0:43:49.89,to shut up

0:43:47.880,0:43:52.86,and they didn't have to who am I to talk

0:43:49.890,0:43:58.08,about them that way except for the fact

0:43:52.860,0:44:02.31,that I'll look at even at homes of

0:43:58.080,0:44:05.34,Pope's and think if this had been cut by

0:44:02.310,0:44:07.17,about a third it would just feel a lot

0:44:05.340,0:44:11.28,more friendly it would just be a lot

0:44:07.170,0:44:12.84,less boring quite honestly and it may

0:44:11.280,0:44:14.79,not have been boring it is not still

0:44:12.840,0:44:16.95,boring to a lot of people but I think -

0:44:14.790,0:44:20.73,I think it's one of the reasons that

0:44:16.950,0:44:23.34,people like Pope probably are just red

0:44:20.730,0:44:25.14,except by academics as as they once

0:44:23.340,0:44:32.77,might have been because there's just so

0:44:25.140,0:44:35.71,much of it so maybe being sort of in

0:44:32.770,0:44:37.18,lineage or of that sort you know like

0:44:35.710,0:44:40.57,people tell me all the time when you

0:44:37.180,0:44:42.43,write long poems mine don't longest my

0:44:40.570,0:44:49.42,favorite has been like 400 lines that's

0:44:42.430,0:44:51.46,puny yeah but I've cut the the longest

0:44:49.420,0:44:53.65,poem in beautiful country is two hundred

0:44:51.460,0:44:57.45,and twenty some odd lines it was eight

0:44:53.650,0:45:00.55,hundred lines long in barely drafts and

0:44:57.450,0:45:03.19,and most of those they rallied prints

0:45:00.550,0:45:08.56,off a long draught and then I'd start

0:45:03.190,0:45:13.99,cutting and I cut 600 lines it's called

0:45:08.560,0:45:15.73,American fear what is there when you're

0:45:13.990,0:45:18.64,revising you have there an intention

0:45:15.730,0:45:21.34,under your vision I mean and along with

0:45:18.640,0:45:23.53,that are you revising towards like Ida

0:45:21.340,0:45:25.87,driven by sounds is given by being

0:45:23.530,0:45:28.48,driven by structure of the poem in

0:45:25.870,0:45:31.54,general or enemy certainly sound figures

0:45:28.480,0:45:37.00,into it I mean that basically also I'll

0:45:31.540,0:45:38.80,see or hear opportunities to to let the

0:45:37.000,0:45:40.87,poem go someplace else it might not have

0:45:38.800,0:45:42.94,gone basically because I hear a

0:45:40.870,0:45:44.77,particular sound that appeals to me or

0:45:42.940,0:45:46.24,see the possibility of substituting a

0:45:44.770,0:45:48.16,word in the subsequent line that can

0:45:46.240,0:45:50.53,pick up that cell I call it sounds

0:45:48.160,0:45:53.20,linkages yeah a lot of people do I think

0:45:50.530,0:45:57.70,Ellen Brian Boyd this first person I

0:45:53.200,0:45:59.71,ever heard use that term but they are no

0:45:57.700,0:46:01.15,sound it's for me a compositional tool I

0:45:59.710,0:46:04.24,have something called the rule of the

0:46:01.150,0:46:07.78,rhyme when I make a sound that I

0:46:04.240,0:46:11.26,particularly like or feel is evocative

0:46:07.780,0:46:13.06,in a line I want to make that sound

0:46:11.260,0:46:15.16,again within the first three or four

0:46:13.060,0:46:16.78,syllables of the subsequent line just to

0:46:15.160,0:46:18.49,see where the poem goes just to see

0:46:16.780,0:46:21.40,where that sound takes me inside the

0:46:18.490,0:46:24.07,code I forgotten the original question

0:46:21.400,0:46:25.42,out of hell I got here I guess like what

0:46:24.070,0:46:27.04,is there an intention behind the

0:46:25.420,0:46:30.84,revision or you just sort of follow well

0:46:27.040,0:46:34.29,I've got I think in sort of most

0:46:30.840,0:46:37.29,fundamental way I'm looking for clarity

0:46:34.290,0:46:37.29,without

