timestamp,speaker,words,tags,timelink,
,DB,"Just the individual&#8230; OK, yeah",revision,,
,NVW,"--and if it comes back rejected, often I'll tinker with it a little bit more and send it back out again in a week.",revision,,
,DB,"OK, so you use the sort of publication and submission process as a sort of revision prompt?",revision,,
,NVW,"I do, I do.",revision,,
,DB,"OK, that's interesting.",revision,,
,DB,"And then, so they come together in one file as your book thing and then you send that out to publishers. Is that a similar sort of thing- if it's rejected then you revise again, or is it once it's in that file, once you've got it there, you just sort of want to give it a space?",revision,,
,NVW,"I'll probably revise it a little bit more if it comes back rejected, but usually once it gets in book form, it seems sort of subtle to me and often (this may also be the case)&#8230; the reason for that being that I've probably moved on to another book and all.",revision,,
,DB,"OK, another notebook that will then become a book, or&#8230;?",,,
,NVW,"Yeah, yeah&#8230; No, an actual-I'm actually compiling another book at that point when I start sending one out.",,,
,DB,"So, how many books do you usually have going, or how many projects at one time do you usually have going?",mss,,
,NVW,"Well, I almost always have a book of poems in process that I'm working on like I said right now I'm working on trying to shape up this book of prose poems, and then I almost always have a book of fiction that's sort of in process-right now, I'm working on a e-book novel, novella thing. And then I'm doing the Photoems now. So&#8230;",mss,,
,NVW,"In terms of like publishing individual pieces now, I'm really doing those a lot. '",,,
[00:48:37],DB,"OK, and then so, in terms of just saving and archiving your work (we talked a little bit about this), you keep your notebooks basically in boxes on the shelves, and then your files are in a folder and they stay in the same folder, and then you put them to an external drive at some point.",future,,Saving and Archiving Work'
,DB,"Is there any other archival or back-up procedures that you go through for your work, or is that pretty much it?",future,,
,NVW,"I guess that's pretty much it. I mean, my publishers I think have copies, you know. They have pdfs of everything.",future,,
,DB,"Right, right",future,,
,NVW,So&#8230;,future,,
,DB,You rely on them?,future,,
,NVW,I rely on them-that those are not going to go away.,future,,
,DB,Sure,future,,
,NVW,"I don't think they will, will they? They won't go away, will they?",future,,
,DB,"Yeah, that's&#8230;",future,,
,NVW,Because that's what they send me to proof now.,future,,
,DB,PDFs?,future,,
,NVW,Yeah,,,
,DB,"OK, and they used to send you galleys or printed copies?",,,
,NVW,Yeah,,,
,DB,"OK, do you do much revision at that stage, or is that much more type of--?",,,
,NVW,"No, they don't want you to.",,,
[00:49:50],DB,"OK, so then I guess one question more and then I want to talk about kind of computers specifically but&#8230; Do you see kind of in this talking that is there&#8230; Was there sort of &#8230; Can you kind of delineate stages of your own writing over the course of your, you know, the years you've been writing sort of professionally? Do you see distinct stages, or do you think it's just been kind of a gradual&#8230;?",,,Stages of Writing and Shifts During Career
,NVW,You mean that's where things have just changed dramatically?,,,
,DB,"Or like, you know, it could've changed like a couple of years, but I mean, would you say there are stages, or would you see it kind of similar? And if there were anything that kind of prompted some of these changes, what were those (I guess is what I'm kind of going with this)?",career; change; between,,
,NVW,"Well, I think it's mostly been gradual. I've grown more comfortable doing some revision work on the computer and especially with the fiction, and maybe because fiction still feels like a newer form to me. One shift that has felt a little bit more dramatic with composing is that I have found myself, when I'm working on short stories, actually doing some new composing work right here while I'm sitting. Like I'll be working on a story thinking&#8230; I'm typing in from my notebook&#8230;",career; change; between,,
,NVW,"Actually I remember working on this one story and I had written something-a note to myself in my notebook that said, 'Flush out her dream right here,' and I had forgotten to do that. So, I remember sitting here doing it while I was typing in the story in to my Word file, and I though what I wrote was OK. It sort of freed me up then to do that more frequently-to let myself do some of the initial composing although I still kind of like have a little cue what it's going to be. Like there's a little whole that I forgot to do, and I have a note to myself in the notebook to do that.",career; change; between,,
[00:52:07],DB,"Good, and does that&#8230; I guess, how&#8230; What's the difference in feel between, I guess-dare I describe it as-2-handed writing versus 1-handed writing?",career; change; between; highlight,,Difference in feel between writing on the computer vs writing by hand
,NVW,"Yeah, one of the things I like about doing it on the computer is that I can close my eyes which is really odd but I like it. So, it seems to lend itself to&#8230; not to dialogue or action, but to real kind of interior moments where I'm in a character's mind and I want to replicate her thinking process. Like I said, the first time I ever tried it was where I kind of tried to render a dream that the character had had. So, I closed my eyes (and of course, we can type with our eyes closed but I can't write with my eyes closed).",career; change; between; highlight,,
,DB,"OK, it'll be really illegible.",,,
,NVW,Yeah,,,
,DB,"Huh, that's fascinating.",,,
[00:53:10],DB,"OK, so then in terms of computers, generally, when did they enter in to your writing process?",early; change,,Entrance of Computers into Writing Process (First Computer)
,NVW,"Well, I remember when I moved to Lake Forest College&#8230; (I knew you were going to ask me this. I was trying to think about this the other day) We got these&#8230; I wish I could remember&#8230; KayPros",early; change,,
,DB,KayPros? OK?,early; change,,
,NVW,Have you heard of those?,early; change,,
,DB,No,early; change,,
,NVW,"Oh my God. They were these huge, gray boxes. They were given to us - this must have been 1980-right around there, 1980 - At Lake Forest College, all the faculty got these KayPro computer things, and really all they did was word processing but I liked them. I remember a lot of the faculty were complaining but I like them because I was moving from this electric typewriter, or something, and this machine was so much easier to do corrections and everything. So, I took to the computer right away. I really liked it.",early; change,,
,DB,In 1980?,early,,
,NVW,Yeah,early,,
,DB,"Wow, OK, that's very early I think.",early,,
,NVW,"Well, I can remember the exact year.",early,,
,DB,"But somewhere&#8230; I mean, you started teaching in Lake Forest in?",early,,
,NVW,In '79,early,,
,DB,"So, it's&#8230;.",early,,
,NVW,It was right around there-when we first moved there.,early,,
,DB,Yeah,early,,
,NVW,"And that's all they did. They didn't do&#8230; There was no internet, or&#8230;",early,,
,DB,"Right, right, right.",early,,
,NVW,Yeah,early,,
,DB,"So, you were just word processing and&#8230; Did this&#8230; Well, the advent of this computer and then maybe like the kind of more&#8230; the prevalence of computers kind of like change your writing practices pretty drastically eventually, or&#8230;?",early,,
,NVW,"Well, you know, the academic world- I don't know if I hadn't been in the Academy, if I would have the same relationship with technology as I do because everywhere I went to teach, I was presented with a new computer when I walked in the door. And it's nice because, you know, Apple made its money by habituating, habitualizing people (What's the word I'm trying to say?)-",early,,
,DB,"No, I think&#8230;",early,,
,NVW,"--to their technology. That's how they became so great, you know-get all these freshmen hooked on Apples when they're in college because they're in the labs and then the next thing you know, you've got generations out there&#8230;",early,,
,DB,Right,early,,
,NVW,"So, anyway, I'm a total Mac person. I love them. They seem really intuitive to me to use them-but I've grown up with them. I mean-",early,,
,DB,"So then&#8230; I guess, what about the software that you use? Did you start with the sort of basic word processing, then did you move to an Apple word processing software, or was it like Word Perfect or&#8230;? Do you remember? I mean&#8230; I can't even name them.",early,,
,NVW,"Oh, gosh. I'm not going to be able to remember all the different program names, but&#8230; Yeah&#8230;",early,,
,DB,And now are you using Microsoft Word?,,,
,NVW,Yeah,,,
,DB,"OK, but you're also using Pages?",,,
,NVW,Yeah,,,
,DB,"So, you're moving between software. Has that been a newer thing since the iPad, or&#8230;?",,,
,NVW,"Yeah, I may get a new iPad pretty soon, and I don't know if I want to buy another Microsoft Word.",,,
,DB,"Yeah, Pages seems to&#8230;",,,
,NVW,And it's fine.,,,
,DB,Yeah,,,
,NVW,It moves in to Word just fine.,,,
,DB,Right,,,
,NVW,"But I learned Photoshop when I was the magazine editor. I edited Willow Springs for about 6 years, and so that was in 1990. I took over the editorship of that magazine when I came out to Eastern. They were doing the magazine with&#8230; Oh, my gosh. There was no computer technology. The woman who had done it before me was like-she was into the light board thing, which I had learned in college, in journalism class. You know, with the sticky, peel-y things?",career; early,,
,NVW,Do you actually know this stuff?,career; early,,
,DB,"I think I saw this in high school in my journalism class. So, yeah.",career; early,,
,NVW,"And I could not believe they had no computer program or anything. So, a guy in the journalism department gave me a copy page maker to put on the computer, and I instantly fell in love with it. I just, 'Oh, I love this.""",career; early,,
,NVW,"I love doing the art for the magazine. I did the covers. You know, I mean I found the art and made the covers myself because there was nobody else to do it.",career; early,,
,DB,Right,career; early,,
,NVW,"And so, I learned PageMaker at the very beginning when it was just out, and as you probably know, that became Photoshop.",career; early,,
,DB,Right,career; early,,
,NVW,"So, I just kind of stayed with it all these years, and now-",career; early,,
,DB,"So, essentially, you've been using Photoshop for 20 years. Wow, that's awesome.",career; early,,
,NVW,"I buy every other Photoshop. That's been my MO. I don't try to keep up with every single new one. So, I'm on 5 now, but I will probably get 7 when it comes out.'",career; early,,
,DB,I'm a little worried that they're not going to do that anymore. They seem to be moving to that like subscription basis.,,,
,NVW,Really?,,,
,DB,Yeah,,,
,NVW,How do you mean?,,,
,DB,"You know, we buy it a lot for the digital computers, and I'm starting to hear that they're&#8230; You know, they're offering it now so you can basically pay monthly fee and get Photoshop, or get InDesign, or get the Design Suite.",,,
,DB,"So, I'm not sure how often-if they're going to be selling those like Student/Teacher kind of like Editions anymore.",,,
,NVW,Oh,,,
,DB,"Or if they're going to be charging a subscription fee which in my mind is going to be way more expensive especially because we have so many copies. It might be cheaper, overall, for an individual but&#8230;",,,
,NVW,Interesting,,,
,DB,Yeah,,,
,DB,"So, I'm not sure. I'm not actually positive about that but I sort of have heard on the wind that that might become around.",,,
,NVW,"Wow, that would be&#8230;",,,
,DB,I don't know-,,,
,NVW,"Hey, it's a tax write-off. So&#8230;",,,
,DB,"Yeah, there you go.",,,
[00:59:43],,...,,,Computers Effect on the Way Writing Felt &#;
,DB,"So, you were pretty familiar with computers from pretty much most of your professional career, As they became more prevalent at large, does that affect&#8230; I mean, I guess, it affected probably your correspondence with your editors and what-not with things like that.",,,
,NVW,Exactly,,,
,DB,"Did that affect anything in the way that you write? Did it start to feel different, you writing feel different?",,,
,NVW,"It felt more constant, I guess. Like my students at Vermont College, they want to send me their work everything online now. I feel like I cannot get away from sitting here, you know, 10 hours, 12 hours a day.",,,
,DB,Yeah,,,
,NVW,"That part, I don't like as much. I like reading, you know, in a comfy chair and I feel like we're moving away from that now, that that's becoming less. You know, and I'm writing e-books myself now, so I'm a culprit, too.",,,
,DB,"Right, right",,,
,NVW,But I can read my iPad in a comfy chair.,,,
,DB,"Yes, yes, you can.",,,
,NVW,"I still like reading in bed but once I discovered that I can read my iPad in bed, I was happy. '",,,
[01:01:16],DB,"I'm sort of interested to- I guess in sort of typographical, or graphical things. And I mean, you are familiar with PageMaker. Did any of that like ability of the computer adjust or&#8230;? I mean like I think in Quake with those breaks that were kind of like little lines-like little jagged lines (I don't know where those came from)-if that was a computer thing, or&#8230;? Do you know what I'm talking about?",,,Graphical/Layout Effects from Computers onto Poetry
,NVW,The section breaks?,,,
,DB,"Like the breaks within the stories, that would be like&#8230; Yeah, like section breaks that had kind of&#8230;?",,,
,NVW,"I think that might have been the designer, the book designer.",,,
,DB,"Oh, that was the book designer.",,,
,NVW,Yeah,,,
,DB,"OK, but did any of that influence your writing? I mean, did you start to&#8230; I mean, you obviously work with fonts and design aspects and layout. Did that influence anything with your poems? I mean, I know they also&#8230; You know, a lot of them have&#8230; At least the earlier ones some of them would move kind of tab by tab, and then I mean there's other different sort of strategies in the earlier poems, too. But they're&#8230; I don't know. I guess&#8230;",,,
,NVW,I'm trying to think about what you're asking me because I'm just not remembering if there's any particular way that that changed in my writing itself.,,,
,DB,"Yeah, I mean I don't think it was a&#8230; I don't know if I can say that it was, but I guess",,,
,DB,"When you're writing in your notebook (Maybe that's the way to get)-when you're writing in your notebook, are you writing with some sort of indentation, Or other things like that? Are you pretty much writing down the left margin? Does that sort of layout thing transfer in to the computer, or&#8230;?",change,,
,NVW,"Right, right. You know, what little experimenting I've done along those lines with poems, I've done on the computer screen. '",change; highlight,,
[01:03:00],,...,,,Photoems and Altered Book Pages'
,NVW,"I mean, that's I think my&#8230; I know we're going to talk about this later. What I'm doing now, I'm doing this altered book pages.",change; highlight,,
,DB,Right,change; highlight,,
,NVW,"I don't know if I showed any of those because those are locked files. But I'm doing these altered book pages, and that's where all of everything I know about Photoshop And my poetry is finally coming together in to something that feels more, I don't know, my own.",change; highlight,,
,DB,Yeah,,,
,NVW,Different,,,
,DB,"Yeah, so&#8230; And we can talk about that. I mean, what&#8230; So, it that different from the Photoems?",,,
,NVW,Yes,,,
,DB,And it's&#8230; What sort of formatting do you use &#8230;?,,,
,NVW,I'll show you,,,
,DB,"Yeah, I'd love to see",,,
,NVW,"So, I put these online. I've been&#8230; This is mainly what I've been publishing lately. I've found this old encyclopedia up here from the '30s and I've been scanning the pages-especially pages that have a lot of graphic material in them. (Let me just show&#8230;)",,,
,NVW,"I put them on this website but in a locked gallery because this is how I share them in with editors. So, let's see. I'll try to find the encyclopedia once I&#8230; Let's look at this right here.",,,
,DB,"So, ZenFolio. Is it like a web service kind of?",,,
,NVW,"Yeah, this is really for a photographer's website but I just like it because it has really clean look, and their slideshow mode is really nice.",,,
,DB,Yes,,,
,NVW,"So, this is the book I'm doing with my husband right now, and these are his illustrations.",,,
,NVW,"(So, I can actually put this in a slideshow. You can see the&#8230;)",,,
,NVW,"So, this is my fiction project that I'm-",,,
,DB,This is the novella?,,,
,NVW,"This is, yeah. This, I will only&#8230; I haven't shared this with any editors yet because I'm only just putting this online. (That's a section divider page)",,,
,DB,(I can see that now),,,
,NVW,"This is called Pull for Stop, and then the story goes like this. So, these are Rick's pieces and then I have this little story that goes with these characters in the book here. Each page, I think of it as a little like flash fiction. So, I kind of think of them as linked flash fictions.",,,
,DB,And they're relating in some way to the image?,,,
,NVW,"Oh, yeah",,,
,DB,OK,,,
,NVW,"So, that's that book. And I was telling you about the encyclopedia, and that's Book of No Ledge.",,,
,DB,OK,,,
,NVW,"So, this is how I send them out now to editors. I'll probably send like 2 or 3 of these pieces in, you know, the online submission or whatever. And then I send them a link to this.",,,
,DB,To the whole&#8230;?,,,
,NVW,"To this gallery, and the password that they need to access it because it's a locked gallery. That way I can kind of track on how many people are looking (editors are looking) at my stuff at the same time. And then when somebody takes a piece, I put these little asterisks. (This is my screwed-up thing) So, they kind of realize all those are out of commission then.",,,
,DB,Sure,,,
,NVW,"So, that's what&#8230; So, now I'm kind of actually putting a poem. (I hate all the sales stuff in here, but) Then I'm kind of replacing the text that was here in the encyclopedia with a poem.",,,
,DB,"And so, you'll do that in Photoshop. Like you'll erase the text and you'll&#8230; Are you trying to match the font in some way it looks like? Or&#8230;?",,,
,NVW,"Yeah, yeah, I am.",,,
,DB,And those are kind of images from the text originally?,,,
,NVW,"Yes, actually they're from like 3 different pages in the text, and then I colorize them, too.",,,
,DB,Those are cool. That's like a really neat project.,,,
,NVW,It's really been fun. I like doing that. You can see I've kind of done a little bit of erasure stuff right here-,,,
,DB,"Yeah, yeah",,,
,NVW,"And then this part is my poem over here. So, I like&#8230;",,,
,NVW,"(I should put these in slideshow so they'll come out larger, see them better)",,,
,NVW,"But I kind of like having a mix of what was the encyclopedia language with Nance talk, kind of. I like going back and forth, so that's&#8230; This has been where I've really started to use the technology much more than I was before. So, I have all these little&#8230; This is the straight encyclopedia-Nance stuff, and I hope they kind of talk back and forth to each other-the language.",change; between,,
,DB,"Yeah, I know. I see what you're saying.",change; between,,
,NVW,My language here and their language,change; between,,
,DB,"Well, it sort of like-it contextualizes it and sort of de-contextualizes it. Yeah&#8230;",change; between,,
,NVW,"Yeah, this is my little conversation with Proust. I've been reading Proust this year. Me and Proust are on a time-out right now.",change; between,,
,NVW,"Anyway, so that's what they look like. I like the pages from the encyclopedia that have all this graphic material so I can kind of take what was , you know&#8230; What do I have? I put all these kind of romance words around. In this one: timber wolf love nips, must axle me",change; between,,
,NVW,But a person would have to sort of go in there and look a little bit. That's the thing.,change; between,,
,DB,"Yeah, I mean it's like you need it. It pays to pay attention, right?",change; between,,
,NVW,"So, that's where things have sort of evolved, computer-wise, for me. '",change; between,,
[01:09:50],DB,"And how's that&#8230; I mean, what's the&#8230; Does it feel different, or does it seem like it's the same creative process for you? I mean, it's visual and textual, so, there's that. But in terms of using the computer to make, is that a change?",change; between; highlight,,Differences between creative processes with Computer and Without (Collected Poems)'
,NVW,"Well, so the way I've been, I have some really interesting, different ways that I've been doing these that has never been even remotely like working on the poems or the stories. So, I'll print out first the original scans in black and white, and that's what I carry around in my little notebook. I'm still fixated to the notebook there.",change; between; highlight,,
,DB,Right,change; between; highlight,,
,NVW,"So, I'm carrying those around in the notebook, and then I just actually start scribbling on the pages-scribbling stuff out. One of the things that I'm kind of doing with this book project-with the encyclopedia-is: this is my version of a collected poems of Nance Van Winckel.",change; between; mss; revision; highlight,,
,NVW,"So, I'm kind of mining some of my early poems because I-",change; between; mss; revision; highlight,,
,DB,"OH, that's really fascinating.",change; between; mss; revision; highlight,,
,NVW,"--The idea of doing a collected or selected, or something, is kind of boring to me actually. But this made it more interesting to do because I'll just pull out, 'Oh, I always like this stanza.' So&#8230;",change; between; mss; revision; highlight,,
,DB,"Yeah, yeah",change; between; mss; revision; highlight,,
,NVW,"I like this stanza."" and then I just ""Forget the rest of that poem,"" you know.",change; between; mss; revision; highlight,,
,DB,Right,change; between; mss; revision; highlight,,
,NVW,"But these 5 lines I like. So, I'll sprinkle them in there and it's been fun to kind of find the visual material that I think they fit with.",change; between; mss; revision; highlight,,
,DB,Yeah,,,
,NVW,"So, anyway-",,,
,DB,"And with the, you know, wealth of human knowledge form 1930 and the wealth of poems-",,,
,NVW,Exactly,,,
,DB,Yeah,,,
,NVW,"And, you know, I feel like I'm kind of talking&#8230; I had&#8230; I sense one of the things that's going on in this project is that I'm talking back to history in a way and saying, 'No, that's not right,' and I like that. I like that versus-",change; between; mss; revision; highlight,,
,DB,And I guess in some way the software allows you more purchase on making those deletions and adjustments-,change; between; mss; revision; highlight,,
,NVW,Exactly,change; between; mss; revision; highlight,,
,DB,"--than it would have in like just crossing out, or a light board for instance.",change; between; mss; revision; highlight,,
,NVW,"Yeah, and the erasure thing that a lot of people are doing, that seems like&#8230; You know, I'm good friends with Mary Ruefle-doing that amazing erasure stuff. So I feel like ""unless I could one-up Mary Ruefle &#8230;"" I'm not doing that. I'm not going there.",,,
,DB,I know,,,
,NVW,There are people who are doing that so much better.,,,
,DB,"Yeah, I've always been a fan of that Radi Os, the Paradise Lost deletion by Ronald Johnson which I didn't like&#8230; And I like&#8230; Who did one? Like Jonathan Safran Foer did it, and I was like, 'Oh, no.'",,,
,NVW,He did it?,,,
,DB,"Yeah, he did some&#8230;",,,
,NVW,Really?,,,
,DB,I don't know. He bugs me anyway.,,,
,NVW,"Yeah, a lot&#8230; Maybe too many people jumped on the erasure band wagon",,,
,DB,"It's fun, but I mean, it's hard really to do it. I mean, in the way that Mary Ruefle does it. It's really, really hard. I mean like&#8230; Yeah",,,
,NVW,"Here's what Mary Ruefle says, 'The way I do it is, I look at the page and then pretty soon, if I just stare at it for a while, a few words float up.'",,,
,NVW,"Good, OK",,,
,DB,That's hilarious,,,
,DB,It's good to be-to have that happen would be fantastic.,,,
,NVW,It really would--a few words float up,,,
,DB,(Let me think here),,,
,DB,I feel like we've answered a lot of these questions in the course of it. Yeah&#8230;,,,
[01:13:50],DB,"Oh, can you find your files? Like if you're looking for a certain poem on your computer, do you have difficulty locating them, or is your organization is such that you pretty much know where things are?",,,Ease of Finding and Organizing Files
,NVW,"I have lost things, yeah. Almost every week, I have little battle because I can't remember what I called something, or&#8230;",,,
,DB,"Yeah, do you worry at all about the security or sort of fixity of these digital files?",,,
,NVW,No,,,
,DB,No. That's good,,,
,NVW,"You mean somebody else accessing them, or something? That kind of security?",,,
,DB,"Or, I mean the kind of fidelity of them, I guess. I mean, you do say that you have floppy disks and old WordPerfect that you can't access. Is that a concern to you, or you just think that would kind of take care of itself?",,,
,NVW,It's not a concern to me-maybe it should be.,,,
,DB,"No, I actually don't think you should be, but&#8230; And I'm the one who should know that. So&#8230;",,,
,NVW,"OK, good",,,
,DB,"But I mean, there's definitely things that we can do. But I mean, it's one of those things that I think&#8230;",,,
,DB,"Well, I guess the other question is, have the changes in computers&#8230; I mean like, you know, probably in the late '90s, early '90s, computers crashed much more often and you were more likely to lose work. Did that influence the way that you work on computers, or was that&#8230;? Or have you pretty much kept the same strategies?",,,
,NVW,"I have pretty much kept the same strategies. You know, I've never had a really bad thing happen where I've lost a harddrive or anything like that.",,,
,DB,You're so lucky,,,
,NVW,"I know, I know. And it's because of all the Macs.",,,
,DB,That's hilarious. They got you-they got you there.,,,
,NVW,They do. I just love all their products. I do. ',,,
[01:15:46],DB,"So, a few questions about correspondence and teaching (although I think we've covered some of that), and then we'll talk about Photoons. Then that would be it.",,,Physical vs. Digital Correspondence
,DB,"So, have you ever corresponded very much in like physical letters? Is that ever been a portion&#8230;? Or are they&#8230; I mean, related to your writing. I don't need to know like personal correspondence (not so much), but I mean like writing-wise, career-wise, is that ever a concern?",correspondence,,
,NVW,"Oh, physical letters, I've&#8230; Well, like I was telling you with that first book of poems, I've kept all the letters that he wrote to me about revision. I don't know, they just&#8230; They're very dear to me that somebody took that kind of time with me.",correspondence,,
,NVW,And then I have a good friend who's a poet. I think I mentioned her to you.,correspondence,,
,DB,Yeah,correspondence,,
,NVW,"Jennifer Boyden. And she really loves the physical letters, and I've kept all her letters that she's written me over the years.",correspondence,,
,DB,Great.,correspondence,,
,NVW,Because they're just so beautiful,correspondence,,
,DB,Awesome,correspondence,,
,NVW,"And it just always seems like just the idea that somebody is writing this JUST to me, you know, this three page letter with her thoughts and ruminations about things and they're just so beautifully written; that she would take the time to do that, you know, it seems like a treasure thing because it's a passing, but do I do it &#8230; ?",correspondence,,
,DB,Do you have any similar feelings for any emails? Do you have emails that you would feel dear about?,correspondence,,
,NVW,"I do keep some emails I have, you know, files with emails that I keep from certain people.",correspondence,,
,DB,"And then, a sort of corollary to that, do you feel like a, and this is an odd question, but do you have any sort of feelings towards your digital files about like your poems? Are they dear to you maybe in the same way a notebook would be dear to you or&#8230;?",files; printdig,,
,NVW,"No, the notebook is dear-er",files; printdig,,
,DB,"OK, yeah.",files; printdig,,
,NVW,"I don't know why, that's weird.",files; printdig,,
,DB,"You touch it. A big part of it, I think. I mean, I don't know. It's one of those things. I don't know if that will change, like if someone never had like the physical in the future. If they'll have this special folder on their desktop&#8230; That just seems odd to me. '",files; printdig,,
[01:18:15],NVW,"You know, I try to be careful that I've always got a hard copy somewhere of the material that I'm working on. Like this book that I'm doing with my husband.",files; printdig,,Keeping Physical Copies and Constructing a book on a Wall'
,DB,"OK, so that's some of the images I guess.",,,
,NVW,And there they all are.,,,
,DB,"Oh wow, those are nicely printed.",,,
,NVW,"To finish that thought about just being careful: Because if things go awry here, I really don't want to lose the work completely.",,,
,DB,Right,,,
,NVW,So I try to make sure that I have a hard copy. It might not always be the most recent copy--,,,
,DB,Yeah,,,
,NVW,--But there's a copy.,,,
,DB,Right,,,
,NVW,"So, with this book, I did all of the arranging of it. I stuck them on that wall in the hallway.",mss,,
,DB,OK,mss,,
,NVW,"All the pages were on that wall and I had little sticky things on the back and I was moving them around to make the sections of the book, but it was up there for like three months.",mss,,
,DB,"Yeah, three months? So, would you come home and see them and make a few changes or would it be like a dedicated time you'd go to it?",mss,,
,NVW,"Well, I was at that stage where the book where I had all these pages, but I wasn't exactly sure how I was going to arrange the chronology, again, of the story. So, I started experimenting with different orders of things, by trying the sections on the wall that way. Yeah, moving them around. So before, each page had its own file in there, and now, they have sections too. I think there are five sections in the book.",mss,,
,DB,"OK, and those came from the wall?",mss,,
,NVW,Yes!,mss,,
,DB,OK,mss,,
,NVW,But I could not figure out a way to look at that many pages on the screen at one time. I mean actually see the print. So I felt like the technology wasn't allowing me to see the big picture the way I needed to.,mss,,
,DB,Need a big touch screen.,,,
,NVW,Yes!,,,
,DB,"I'm sure they're coming, or I'm sure they're here, you just haven't seen them yet.",,,
,NVW,That's it exactly!,,,
,DB,You need a big wall that's a computer.,,,
,NVW,"Yes! And if Mac makes it, I'm buying it.",,,
,DB,There you go.,,,
,NVW,It's going to be a million dollars.,,,
,DB,"Yeah, that would definitely be expensive. '",,,
[01:21:10],DB,We did talk a little about your teaching and that you do correspond by email with your students mostly. Is that now?,,,Teaching and Digital Correspondence'
,NVW,"If they insist on sending me their work as attachments and everything, I'll read it that way. I don't mind doing it with the poets, but with the fiction people, I would much, much rather they send me their work in the mail. And usually they're OK with it.",,,
,DB,So you can kind of take it and not have to be connected &#8230;,,,
,NVW,Exactly,,,
,DB,Yeah,,,
,NVW,I just do not like writing my comments with the blackboard program or any of those. The college has that available to us and I have done track changes in Word. I know how to use that OK. I just like to scribble in the margins.,,,
,DB,"So in that aspect of your work and your life, you would just ultimately prefer physical correspondence in total?",,,
,NVW,Yeah',,,
[01:22:20],DB,"OK, yeah. I guess the other thing with like, writing and distraction, I guess, is like are you connected to the internet when you're writing? Do you ever have to like disconnect, turn off your Wi-Fi or something? Is that a problem or concern for you? Or do you use it, like are you looking things up while you're writing at all?",,,"Writing, Computers, and Distraction'"
,NVW,Oh well that's a good question. I don't like to be disconnected from the net anymore.,,,
,DB,Yeah,,,
,NVW,"It's terrible. I like to check in with my peeps all the time now. And yeah, I use the dictionary on here all the time because it's just so much faster.",,,
,DB,"Yeah, so it's a tool, and whatever writing space you're in, be it notebook or not, you're still using your computer as a tool to assist you.",,,
,NVW,"Yeah, and I mean I've always got something going on that's like you know, right now, I'm talking to agents and if they email me, if I see an email come in while I'm actually working on something, I got to go see if that is from my agent.",,,
,DB,"Right, right. And that distraction point of it is not a real concern for you? I mean, you are producing quite a bit.",,,
,NVW,"It was more when I was younger, but I guess maybe I'm learning how to disconnect from it and go back to my work pretty fast then.",,,
,DB,Has there been something you've found to help&#8230; I mean like if you're distinguishing between your younger working and now&#8230;?,,,
,NVW,"I guess maybe it's like a lot of younger people, I'm just more used to being attached to it. I'll be doing something on my iPad, communicating with somebody or talking on Facebook or whatever, while Rick and I are watching a movie at night. So there's much more multitasking.",,,
,DB,You've learned a sort of way of compartmentalizing it that seems pretty seamless--,,,
,NVW,Yeah,,,
,DB,"And the last question about teaching: When you've had now, you're probably getting students who've grown up only with a computer, right?",,,
,NVW,Yes,,,
,DB,"Has that changed your relationship to the way? Has that sort of changed your idea about what it does, its effects, anything like that?",paper,,
,NVW,"Well, it's changed to the sense that when students talk to me about their own composing process, and of course they do everything on the computer, they don't ever, a lot of them, write anything at all in longhand.",paper,,
,DB,Yeah,paper,,
,NVW,"I don't even know if they can. And so I'm OK with that. I feel like I sort of made my peace that people are perfectly able to write, to find a good composition process that works for them that doesn't have to do with paper and pens at all. So, I'm accepting of that. You know, I don't try to like, shove my process off or say to someone, ""Have you ever thought you might like to write it on a piece of paper first?""",paper,,
,NVW,"What, you know, why? that's - -I know, I know that I'm hanging onto something that's -",paper,,
,DB,If you would -,paper,,
,NVW,"-the pen... The pen and paper to me, um, they have some, there's something else between the eye and the hand and the page.",paper; highlight,,
,NVW,"And I still feel that when I'm working, especially on poems, that there's something happening between the eye and the fingers and the page. It's very tactile that I'm hanging on to that, which I like.",paper; highlight,,
,DB,"And so you would say, I mean for those that are only composing on the computer and not ever going to handwriting, or never using handwriting at all, that's what they're missing, that sort of hand-eye coordination.",paper; highlight,,
,NVW,"I don't know. I don't think they necessarily are missing it. I think they've probably learned or are learning to do a step in the composing process. You know, maybe that thing where you're writing with your eyes closed. I mean, that they grow up with that, and so they get the same whatever imaginative connection with the keyboard.",paper; highlight,,
,DB,Do you find that they're as open to revision as maybe an older student?,,,
,NVW,"Well, they can be made to... They can... That's just part of the learning process.",,,
,DB,"Right, so you don't think it's anything distinct to this generation?",,,
,NVW,No,,,
,DB,OK,,,
,NVW,"I think they just have to... Many of them, some of them get it right away, that revising can actually make a work better.",,,
,DB,Yeah,,,
,NVW,I've been working with this woman right now who came in saying that she doesn't like to revise because she likes to sit down and write everything out really fast in one big draft.,,,
,DB,Right,,,
,NVW,"And her stuff is a mess! And so it's my personal mission with her to help her to come to believe that actually revising or working on some other manner, you know, like maybe having writing a scene at a time -",,,
,DB,Right,,,
,NVW,"-would benefit the work. But she's very young and it's her first. She didn't even have an undergraduate degree in writing so, she's starting at square one.'",,,
