timestamp,speaker,words,tags,timelink,sectiontitle,youtubetime
,JM:,"No, I think it'd probably wasn't but it took more trouble to write it, and post it, and 32 cents, or whatever it costs (whatever a letter cost to send before I started doing this). Then I have a friend who's a lifer. He doesn't have a computer, so, it's with Robby that I correspond by snail mail.",,,,
,DB:,Yeah,,,,
,,"And do those feel different now? I mean, is it sort of a more difficult to get up, to write that letter?",,,,
,JM:,"Yes. Yes, it is. And I wind up writing it here and printing it out, and signing it, and putting it in the mail. Then his letters to me are all in long-hand.",,,,
,DB:,"I guess, in keeping with this latest work, when you went back to revise the poems, that was a fairly similar process, too?",,,,
,JM:,I think it was exactly.,,,,
,DB:,Exactly the same?,,,,
,JM:,Yeah,,,,
,DB:,OK,,,,
0:52:45,DB:,"And then kind of a general question about your revision process, and this is one that I kind of... And this is a little bit repetitive. So, are the revisions driven by sound, by meaning, by theme, by structure? Are these all kind of intertwining?",revision,3165,Revision by Ear and via Correspondence,
,JM:,I think they are.,revision,,,
,DB:,OK,,,,
,JM:,"You know, it has to be&#8212;it just has to be. What can your ear bear here? And if it can bear it, is it saying what it has to be saying?",revision; highlight,,,
,DB:,"So, that's kind of step 1 and step 2 for your revisions?",revision,,,
,JM:,"Yeah, and they're probably inseparable.",revision,,,
,DB:,"Right, right",,,,
,,Do other people play a process in your revisions or in your working?,revision,,,
,JM:,"Yes, they do.",revision,,,
,DB:,"OK, how so?",revision,,,
,JM:,I'll send then drafts and get responses from them that are almost always helpful. And they're helpful in terms less of my being able to meet what they might have preferred to having what they've said to me help me prefer what happens once I make the revisions.,revision,,,
,DB:,"OK, and have those people stayed the same throughout your career, or they've changed somewhat?",revision,,,
,JM:,"They've... Yeah, there've been a couple who are new in the last 4 or 5 years on this most recent books&#8212;colleagues.",revision,,,
,DB:,"And how will that process work? Will you now email them a section whereas before you might send them a letter with the section, or...?",revision,,,
[00:55:00],JM:,"Yeah, it's easier. This makes it a lot easier to do and (55:00) then, of course, I get work from other people in this form, too, and I like that. I've liked it... I mean, I haven't taught now for a year and a half, but I've really liked the way the computer makes it possible to re-lineate poems that I've gotten from students&#8212;just to give them a sense of how I hear what they're doing with the lines. It's been a help. It's been a help to me. I haven't seen much evidence that it means anything at all to them.",revision,3300,Critiquing Work from Others on the Computer,0h55m00s
,DB:,"No, I can tell you from experience. It's a lesson--it's a valuable lesson.",,,,
,JM:,"Oh, good",,,,
,DB:,Definitely!,,,,
,JM:,"Well, you may be the only one.",,,,
,DB:,Sometimes it's difficult in the lessons learned but definitely valuable.,,,,
,,"[OK, let me look at this for one second. Do you want to take a break by any chance?]",,,,
,JM:,[I'm fine. Now you want to take a break!],,,,
,DB:,[She's tired of these questions],,,,
0:56:19,DB:,"So, how did you keep track of all these things? I mean, I guess, with the computer if fairly... You have one file with all of them in it?",mss,3379,Primacy of the Poem as Product in Book Composition,
,JM:,Yes,mss,,,
,DB:,"And before that, did you just have them in a binder, or...?",mss,,,
,JM:,Just loose pages probably.,mss,,,
,DB:,Just loose pages.,mss,,,
,JM:,With a clip probably.,mss,,,
,DB:,"OK, and with that... As you got the manuscript more towards where you wanted, that would just grow bigger and bigger?",mss,,,
,JM:,Yeah,mss,,,
,DB:,"So, it's a fairly easy way to do that.",mss,,,
,JM:,Yeah,mss,,,
,DB:,"So it wasn't like some of the other writers, like they have these special notebooks; they have kind of like a process where they move from notebook to this, to this? That wasn't...?",mss,,,
,JM:,No,mss,,,
,DB:,That part of the writing was never that...?,mss,,,
,JM:,No,mss,,,
0:57:25,DB:,"And those files and that sort of ephemera, it's never....It doesn't seem that it was that dear to you?",mss,3445,What is the Product and Where Does it Exist,
,JM:,No,mss,,,
,DB:,And it's still not?,mss,,,
,JM:,No,mss,,,
,DB:,OK,mss,,,
,,Do you know... Have you ever thought why?,mss,,,
,JM:,All I care about is the product--that's all I care about.,mss; revision; highlight,,,
,DB:,And when do you... What do you consider the product?,mss; revision; highlight,,,
,JM:,The poem that I can't make any better.,mss; revision; highlight,,,
,DB:,OK,,,,
,,"Do you... I guess, in the same way in the computer? How do you feel about computer files? Do you try to... Do you have much sort of sense of trying to maintain them and keep them, or are they just sort of means to getting it to that point?",mss; revision; future; highlight,,,
,JM:,"They're the Work In Progress. At the most recent stage, if I'm going to get on an airplane I'll send what I've got on the book as a whole to a couple of people. They'll understand why I did it. So, that would be one of the later things that I would do before I got on the car to take us to the airport.",mss; revision; future; highlight,,,
,DB:,"OK, yeah",mss; revision; future; highlight,,,
,JM:,"It's egomaniacal, you know, in its way.",mss; revision; future; highlight,,,
,DB:,Yeah,mss; revision; future; highlight,,,
,,"But, I mean, it's also your work.",mss; revision; future; highlight,,,
,JM:,It's my work.,mss; revision; future; highlight,,,
,DB:,Yeah,mss; revision; future; highlight,,,
,,"So, the product (the poem)&#8212;where does it exist? Is it in the book? Is it in the printed out page? I mean, I know you're very strong proponent of the aural poem... I guess that's sort of a larger question, but where is it?",mss; revision; future; highlight,,,
,JM:,I guess it's in the book.,mss; revision; future; highlight,,,
,DB:,It's in the book?,,,,
,JM:,Yeah,mss; revision; future; highlight,,,
,DB:,OK,mss; revision; future; highlight,,,
,JM:,"And I would want form, which in my case is the line and the stanza, to instruct a reader of that book on how I hear the phrases and the sentences.",mss; revision; future; highlight,,,
,DB:,"Right, right",,,,
,,"Do you ever record yourself doing this? Have you ever like recorded yourself reading a book, or has anybody ever asked you to do that?",,,,
,JM:,"I did read... Somebody recorded All of Capacity. Matt Nelson did it. Some years ago, I was asked to do some for one of those New York poetry societies, or... I can't remember what the others are, but I did. I have recorded some things. I've liked doing it, but it's only been when somebody's asked me for a recording.",,,,
[01:00:00],,(1:00:00),,3600,,1h0m00s
,DB:,I think that would be a valuable thing.,,,,
,,"[Let me just look through these. I think, we've gone... We've actually organically answered some of these questions I have, so that's nice.]",,,,
1:00:22,DB:,"This is a little off, but has the internet changed the way that you do any of this process? Has the kind of availability of all these extra information allowed you to maybe find books, or find ideas and research online in a way that changed anything for your writing?",,3622,Internet's (lack of) Impact on Writing Practices,
,JM:,"I'm so bad at this that Amazon has like been the only resource that I've been helped by. I'm sure there's lots else there, but it hasn't served me. I'll google some things but not much.",,,,
,DB:,Not much,,,,
,,"Do you... I mean, why do you feel like you're bad at it, I guess, is a question. Is it something... But it's something that... I mean, is it something that you feel like kind of naturally, inherently, bad at, or...?",,,,
,JM:,"Yes, I feel naturally, inherently bad at it.",,,,
,DB:,"And at the times that you have sort of attempted to teach yourself, it's just not something that come naturally, and not something that you've needed?",,,,
,JM:,"I think, yeah. I think if I had needed it more I'd probably would've availed myself of it more and taught myself how to do it. I guess, yeah&#8212;I haven't felt the need of it.",,,,
,DB:,"Yeah, yeah",,,,
,,"Again, where do your files and folders kind of reside on your computer? Are they... Do you have like a folder for that book with all the drafts, or is it just one document?",revision; files,,,
,JM:,Just one document.,revision; files,,,
,DB:,Just one document.,revision; files,,,
,JM:,Just the most recent.,revision; files,,,
,DB:,"OK, and that's how it works for almost everything?",revision; files,,,
,JM:,Yes,revision; files,,,
,DB:,OK,,,,
,JM:,"And I think that would be related to what you probably remember&#8212;if I'm seeing students revisions, I'm interested in the one that they feel is the strongest, and I'm not going to compare it to earlier things. I wouldn't want... I want them to be making that call, and that's what I want them to hear from me back about.",revision,,,
,DB:,"Right, right",,,,
1:01:51,DB:,"How do you... I mean, you've sort of spoken about this in describing your earlier practices. How did you get that acumen in sort of being able to tell? I mean, it's just...",revision,3711,Development of Aural Acumen by Listening to Music,
,JM:,"I don't know. Just listening to a lot of great, great music, I think. I mean, that would make more sense to me than anything else.",revision,,,
,DB:,Hmm...,,,,
,,"OK, and what was the... Is there a progression of music that you listen to ever?",revision,,,
,JM:,"Yes, yes",revision,,,
,DB:,Can you talk a little bit about that?,revision,,,
,JM:,"I think I was helped immeasurably by what I listened to when I was 12 and 13 just in a really bad way, and that was first jazz from the early '50s that got to be more and more exclusively black jazz, or black musicians. And that got me through high school, and then I had other things to do once I went to college. It kind of was suspended pretty much all the way through my undergraduate work, and my graduate work, then it came back once I had the job here.",revision; change; highlight,,,
,,"So, in the late '60s, it was the popular music&#8212;rock mostly&#8212;and The Stones and Hendrix were kind of at the top of that list. Then Hendrix was dead and The Stones weren't what they had been. At that point, I had a need for music that got to me, and there wasn't any more of it coming from jazz or rock, so then I started learning classical, learning the literature of",revision; change; highlight,,,
[01:05:00],,"(1:05:00) classical music, and it's had hold of me since November of 1973. You know, I feel that it's trained my ear to be what it is. I don't know how it's done that but it's been elemental to me.",revision; change; highlight,3900,,1h5m00s
,DB:,Did you take any formal education?,,,,
,JM:,"No, no",,,,
,DB:,Just listening?,,,,
,JM:,I just listened.,,,,
,DB:,And where would you find... How would you find new things? What was your progress there?,,,,
,JM:,"From composers and from artists both. So, going at it both ways",,,,
,DB:,Yeah,,,,
,,"Have there been particular composers, or artists, at times that you listen to more? I mean like is there... Does it move forward, or...?",revision; change,,,
,JM:,"It's been Mahler and Beethoven at the top, and then Brahms and Bach. Loads of others but Mahler and Beethoven most of all.",revision; change,,,
1:06:10,DB:,"I mean, you based one of your stanzaic forms on the... Who was it? Was it&#8212;",revision; mss,3970,Schoenberg's 12 Tone System as Formal Model,
,JM:,"Well, Schoenberg, whom I'm not that crazy about but the 12-tone system suggested to me a stanzaic progression in which if I've got (as I had in the two most recent books) 1, 2, 3, 4, and 5 line stanzas&#8212;the 12-tone system in which he would not come back to a note until he had used the other eleven [on the] scale suggested to me a form in which I would not interrupt the progression of 1, 2, 3, 4, 5 until I'd exhausted all of those five. And then I would begin the next sequence with another number and try to have that second sequence be as varied from the first as I could be, and then continue that all the way through.",revision; mss,,,
,,"That's not to say that I wouldn't wind up having a 3, 2, 1, 4, 5 sequence somewhere else in the poem, but I'd want it to be removed by several other sequences.",revision; mss,,,
,DB:,Right,revision; mss,,,
,JM:,"So, variety is one of the models but that was the form.",revision; mss,,,
,DB:,"And how did you... Did you pick that up by listening, or was that from a reading? I mean, are you reading about this as well, or...?",revision; mss,,,
,JM:,"No. I mean, I just knew what the 12-tone system was and knew no more about it than that.",revision; mss,,,
,DB:,"OK, but it&#8212;",,,,
,JM:,"It's just in one sentence thing. So that suggested itself to me. I began it with a poem I wrote about Greenland called ""T""he World At Large."" There, I was working with 1, 2, 3, and 4&#8212;I stopped at 4 there. And then the next time, I was in to Capacity. In that book, I added a 5-line stanza.",revision; mss,,,
,DB:,Capacious stanza.,revision; mss,,,
,JM:,It was more capacious.,revision; mss,,,
,DB:,Great!,revision; mss,,,
1:08:35,JM:,"I would say, too, that when I think back about moving from the late '60s when I was writing poems I didn't like, weren't very good, into the early '70s, I think there's a non-accidental relationship between the forms I was working with having been as short as a 3-minute take and a sonata form, or a scherzo trio form, or an adagio, or something like that that the lengths of it (the units I was working on ) got larger when I was listening to pieces of music that were 8-9 minutes to ½ an hour long.",revision; change; highlight,4115,More on Classical Music's Positive Effect on Writing,
,DB:,"Right, that makes a lot of sense.",,,,
,,"And you're listening to this classical piece. Was it a very active listening? I mean, is it usually like you're alone with the music? Is it a head-... Do you listen to it on",,,,
[01:10:00],,(01:10:00) headphones?,,4200,,1h10m00s
,JM:,Both,,,,
,DB:,Both,,,,
,JM:,"A lot of it. You know, I spend a lot of time with it.",,,,
,DB:,"Yeah, and are you ever writing while that's on?",,,,
,JM:,No,,,,
,DB:,You give the attention to the music?,,,,
,JM:,Yeah,,,,
,DB:,"OK, and that's still a part of your process now?",,,,
,JM:,Yeah,,,,
,DB:,That's fascinating!,,,,
1:10:32,DB:,"OK, I have a little bit, a few more questions&#8212;a little bit on teaching&#8212;and then just kind of the blunt ending questions.",,4232,Thoughts on Computer's Impact on Teaching and Social Relationships,
,,"You just speak about this with the computer kind of changing your relationship with your students. You can kind of rely in their poems to show them how you hear them. Is there any other ways that you've seen this computer sort of age adjusting, or affecting, your teaching and working with students?",,,,
,JM:,"I don't think so. It's made it all more efficient in terms of not having to go to the mailbox to get the copies, but to just come here and here's their poems. I like that. I think they like it, too.",,,,
,DB:,"Right, right",,,,
,,"Do you see, in your later students, that there's like an increased technological or cultural understanding that affected their work, or...?",,,,
,JM:,No,,,,
,DB:,[inaudible 01:11:26],,,,
,,That's fine with me.,,,,
,JM:,"I mean, except that I think there's a probably a proclivity for exotic words that they trust Google will help you with. I think that's happened.",,,,
,DB:,"Yeah, yeah",,,,
,JM:,"I don't... That's not necessarily a gain, but it's not terrible either.",,,,
,DB:,"Yeah, yeah. No, that's not bad.",,,,
,,"So, I guess, I just have like the kind of blunt questions. I mean, this sort of the frame of my thing (of my study) is - what changes happened with this rise of personal computer. I mean, for you, it seems like maybe not that many. Do you have any opinions on kind of how...? Is there a change in feel, change in structure, or...?",,,,
,JM:,"I like what's personal about this medium in that way that I've described already. I like the contact this machine gives me with people. I feel it's certainly more immediate. I think it's increased the contact that I have with people who are spread around the world. It's been more important to me since I don't go in to school and run in to people that I have conversations with. And I like the fact that it's this keyboard that connects me with them, and this keyboard that connects me with strangers who might read my poems. I like that about this&#8212;a lot. I like it a lot. I like it all the more now that when the phone rings, 90% of the time (even though I've asked not to be called by telemarketers) it's telemarketers.",change; highlight,,,
,DB:,"Yeah, because most of your conversations that are important now are on the computer.",,,,
,JM:,Yeah,,,,
,DB:,"And then, I guess, has that changed the poems? Has that--?",,,,
,JM:,I don't think so.,,,,
,DB:,"No, OK",,,,
,JM:,"But I can't know that. I mean, it might well have.",,,,
,DB:,"I mean, it's interesting to me. I guess just thinking of the Ulysses class, and just like thinking about that connection with people with being so integral to thinking about that book and about what you were talking about. And I wanted&#8212;",,,,
,JM:,"My favorite class, ever.",,,,
,DB:,That was a great class.,,,,
,JM:,"I mean, just by miles and miles.",,,,
,DB:,"Good, good. I'm glad I was in it.",,,,
,JM:,"I'm glad you were, too.",,,,
,DB:,"I think... I guess... But I mentioned... I mean, it is in a sense a very good democratic object&#8212;",,,,
,JM:,It is.,,,,
,DB:,"--and I guess I can see your relationship to it in that way. And I guess, it would be left for others to comment how that may have broached this.",,,,
,,"OK, well thank you very much, Jim.",,,,
,JM:,"Oh, it's been so good.",,,,
,DB:,That's great!,,,,
,JM:,You're so good at this. You really are.,,,,
