timestamp,speaker,words,tags,highlight,timelink
,RP:,"A new folder. Each poem. Let's say the poem is called ""The Mechanical Pencil."" Then it'll have a name like ""Mech Pencil,"" with an upper case M and P. So you'll have ""Mech Pencil DR1.docx"" or ""Mech Pencil DR6.docx,"" ""Mech Pencil 47""&#8212;and maybe not every single one is saved, but those are, and they're all going into that folder. In the main file, which is the next book&#8212;in whatever that folder is, you have the separate poems.",files;future,,
,DB:,When did you start using this sort of folder system?,files;future,,
,RP:,I can't remember when I started doing it.,files;future,,
,DB:,But it's been pretty consistent?,files;future,,
,RP:,Probably since I started using a computer.,files;future,,
,DB:,"Do you feel like you kind of envision the poems in that way? When you are thinking about them later, does that ever pop into your mind?",files;future,,
[00:58:22],RP:,"When I think about the poem I think about it in my book or as part of my poetry reading. Or, if I'm in a particularly grandiose and hopeful state, I picture somebody reading it the way that people in the Favorite Poem Project&#8212;you know, the way Seph Rodney reads Plath's ""Nick and the Candlestick.""",files;future;mss,,3502
,DB:,Yeah. I was watching the South Boston&#8212;,,,
,RP:,"Oh, the kid.",,,
,DB:,John&#8212;,,,
,RP:,John Ulrich.,,,
,DB:,"Yeah, John Ulrich.",,,
,RP:,"He reads Gwendolyn Brooks' ""We Real Cool.""",,,
,DB:,"I was struck by how much I wanted to know how he's doing. I was interested in him. I mean the poem is great and everything, but it just made me, like&#8212;",,,
,RP:,Last I heard he was doing okay.,,,
[00:59:00],DB:,"I hope so. Good. So, I guess I'm a little unclear as to what your revision process is like. I think I have a sense of how the compositions happen. But then when you have, say, most of the poem ready&#8212;like when you're moving from drafts 020 to 021&#8212;what are you doing in between there?",revision;between,,3540
,RP:,Print-out. Write on the printout.,revision;between,,
,DB:,Are you reading it out loud?,revision;between,,
,RP:,"See if you have the poem by memory. Turn off the light off while going to sleep and try to recite the poem. If you come to a part you don't have memorized, maybe that's the part you need to work on. Not reliably, but sometimes.",revision;between,,
,DB:,"Do you have an intention in doing that? Is each poem different, or&#8212;?",revision;between,,
,RP:,"Yeah. My intention is to make it worth somebody getting by heart, or wanting to read to their friend, or wanting to recite to themselves on a hike or when they are driving&#8212;do whatever it is that poems do.",revision;between,,
,DB:,What happens when a poem doesn't realize that?  How do you know that a poem is not going to get there?,revision;between,,
,RP:,"In my case, you keep working. Very rarely, you abandon it&#8212;usually some part of it that's working gets incorporated into the next poem, or into some future poem.",revision;between,,
,DB:,"So, you kind of take parts and move them around?",revision;between,,
,RP:,Yes. You use it the way Cubans do parts of sugar lace.,revision;between,,
,DB:,Do other people kind of work into this process?,correspondence;revision,,
,RP:,"Yeah, I have friends. Louise sees what I write. Alan sees what I write. And maybe Gail Mazur. Different times of my life there have been different friends&#8212;always somebody around. Jim Olson. Sometimes I email things to Jim.",correspondence;revision,,
,DB:,At what stage do these people usually come in?,correspondence;revision,,
,RP:,Fairly late.,correspondence;revision,,
[01:01:10],DB:,To kind of get a reaction or something like that? Was the translation work and using the computer and these sort of processes fundamentally different?,revision;paper,,3670
,RP:,"It was rather similar. Felt pen. I would print-out whatever canto I was working on, so: two or three pieces of paper, maybe one piece of paper. I had everything I needed. And then it was the metrical game.",revision;paper,,
,DB:,You described that in one of the interviews I've read as sort of intensely pleasurable sort of work. What kept you drawing you back to it?,revision;paper,,
,RP:,"It's why kids play video games. It's why guys play golf. It's a difficulty that you become addicted to. You become entranced by the difficulty. Like people who need to do the New York Times crossword puzzle every day. It's that part of the mind that loves to solve difficulties&#8212;or, let's not say ""solve""&#8212;engage a certain kind of difficulty. Because the video games offer infinite... You can't ever solve it. You can get better at it, making those consonantal rhyme tercets and pentameters. And always compressing&#8212;I use fewer words in that translation than any other translation, prose or verse. Never pad to get a rhyme. Compress to get a rhyme. That was the rule. And it became what a jigsaw puzzle is for somebody who loves jigsaw puzzles. What a video game is for somebody who loves video games. It became absorbing.",revision;paper,,
,DB:,How long did that project last?,,,
,RP:,"It was a year to get through the Inferno ones, and almost another year to revise.",,,
,DB:,"I read that you worked on a revision with Frank Bidart some, too?",,,
,RP:,Yes. We put a lot of effort into that.,,,
,DB:,"So you have the individual poems that you work on, but then how do you get them into a book?",mss;files,,
[01:03:40],RP:,"There's a folder called ""Book.pms"" and it acquires a name, and the book acquires a title, but that's the next book of poems. In that folder right now, there's a file called&#8212;I think&#8212;""Book29."" That is, it's the 29th draft when I bother to have a contents page, which Nisus Writer does very well. A contents page, page numbers, and the order that the poems are in. That order will change, but it's what I have with me if I go somewhere to give a poetry reading, and it's a file. It's a folder.",mss;files,,3820
,DB:,How do you construct your orders?,mss,,
,RP:,I guess it's different for each book. I'm not sure how to answer. It's intuitive.,mss,,
,DB:,"Does it have some sort of phrasing to it? I mean, is it musical in that sense?",mss,,
[01:05:00],RP:,"I hope ideas and feelings get introduced. I hope then they get developed and amplified and explained, and then I hope new elements come in, in the course of that process. At the same time, one recognizes that a good number of readers don't read the poems in order&#8212;some people like to start in the middle, some people start at the end. But for those who want to see something in the order, Gulf Music starts with a kind of peculiar title poem. It says, ""This is not going to be easy. It's going to involve the newspaper, and it's not going to take certain conventional routes for political poetry.""",mss,,3900
,DB:,I found the ordering and construction of Gulf Music to be very unusual. I was just sort of thinking about it being just unlike most things that come out now.,mss,,
,RP:,"I thought about it a lot. I did want to make it something distinctive, and it starts with the most ghazal-like thing in the book.",mss,,
,DB:,Yeah. Are you on draft 29 of the current book?,mss,,
,RP:,Yes.,mss,,
,DB:,Is that where you are at?,mss,,
,RP:,Yes.,mss,,
,DB:,"This is just for me, but do you know when&#8212;?",mss,,
,RP:,"I'm on leave next year. I hope that before the year is over, I'll have the book.",mss,,
[01:06:40],DB:,How has teaching influenced the way you write?  Has it done much? Or has it sort of been the way that you support the time that you get to do the writing?,change;highlight,,4000
,RP:,"It's not an easy question to answer. I'm proud&#8212;it's an honorable profession, and I think I've probably helped more people than I've hurt people. And my students seem to be getting something out of what I do as a teacher. I guess they help when I ask them to make anthologies. So, I guess among other things, they help me have a sense of what is currently esteemed. Change has a frightening morbidity&#8212;every two or three years the canon is very different.",change;highlight,,
,DB:,"Has that rate increased in more recent years, now that the internet has kind of made things more available?",change;highlight,,
,RP:,"I'm not sure. It could be, or it could be just that as I get older I'm more disturbed by it, or delighted by it, or something. But it certainly does suggest that the wheel of fashion spins along pretty well.",change;highlight,,
,DB:,"I guess there are other questions about your correspondence, and I know you talked about the anxiety of saving emails and stuff like that. But before, were you a big physical letter writer?",correspondence,,
,RP:,"I used to write a lot of letters. They used to be a way I would warm up. But I remember when I was working on The Situation of Poetry, I would warm up with a routine where first I'd write a letter or two, maybe three, and that would somehow make me feel I was working. Then, to glide into working on a poem or in that prose project&#8212;it was somehow made easier. And, I used to get a lot of letters, and I used to send a lot of letters. I still do once in awhile, but electronic has taken over.",correspondence;change;highlight,,
,DB:,Can you point to a time when that sort of wave overtook?,change;highlight,,
,RP:,"I think in the late '80s or early '90s. People you think would never adapt to email adapted to email. It became more and more of a lingua franca. And it became the agora, it became where people met. And the generation that only did paper correspondence got old and died, to be blunt about it.",change;highlight,,
,DB:,Do you find that it is a different genre?,,,
,RP:,Different conventions.,,,
,DB:,Yeah.,,,
,RP:,"I must say that when I see letters I wrote long ago, I wince. I don't like it.",,,
,DB:,Why not?,,,
,RP:,"It's either naiveté, or there is falseness, or there is clumsiness. To write a good letter, in a way, you have to not think about how you are sounding or looking. It should be ephemeral, it should be at the moment. But then to have it preserved for 20 years? It's a little disturbing.",corresondence;change,,
,DB:,Do you think that there is more of an awareness of that with email?,corresondence;change,,
,RP:,"I think email is probably more unconscious. I was joking with you about my friend who says scandalous things in emails, and I repeatedly tell him, ""Look out!"" Things you read in the newspaper where in some business setting or political setting, people get nailed. The email trail. It may be generationally something is changing. I think people say things in email they wouldn't say ""in writing"" because they don't think of it as having as much permanence, and sometimes it surprises them.",corresondence;change,,
,DB:,"Yeah. My first job out of college as a paralegal, I just looked through email after email for ""Hot Docs,"" as they were called.",,,
,RP:,"And hitting ""delete""&#8212;",,,
,DB:,It doesn't do it.,,,
,RP:,No it doesn't. It doesn't shred it.,,,
,DB:,"So, kind of more overall, do you think the advent of the computer and the rise of the computer in your practice has changed things fundamentally? What if you were still working with your IBM Selectric?",,,
[01:11:45],RP:,"Publication is different. We've been talking about production, and production has changed somewhat for me. Probably not as much as many people. Probably because I've been doing it so long with a computer and because poetry for me is vocal. Publication is in a midst of some kind of tremendous transition. I don't think anybody knows where it's going, exactly. I recently spent a few days in New York. It's pleasing to see the people with a book in the subway, a magazine or a newspaper, but most people who are looking at something are looking at the screen. I'm surprised how many are looking at tablets. Lots are looking at phones&#8212;a certain number are playing games, a certain number are checking their email, a certain number are listening to music and looking at something that goes with the music. How many are reading? I don't know. But at the moment, if a magazine tells you they want to put something in their web page rather than print and you feel it as their second level of affection for this&#8212;that maybe shifting.",,,4305
,DB:,Yeah. I wonder about that too. I feel like it's right on that cusp.,,,
,RP:,"I think it's all very fluent, and we don't know&#8212;and I don't think anybody really is quite sure&#8212;what's going to happen next. I guess one has to not think about it too much.",,,
,DB:,"Yeah. Unless you have to make those decisions, sure. Your point about the formatting and about them not figuring that out yet&#8212;",,,
,RP:,That's going to happen soon.,,,
,DB:,"But I mean, even in HTML, even if you see your poems get put up there, there are so many easy problems that people just don't know how to fix, because there are so many different levels of expertise.",,,
,RP:,It used to drive me crazy on Slate when an ad would disrupt a poem.,,,
,DB:,Yeah. Like break the line in a weird way or something like that? Maybe a famous poem?,,,
,RP:,Are we almost done?,,,
,DB:,Yes.,,,
,RP:,I'm getting a little worn out.,,,
,DB:,I think we're done.,,,
,RP:,Good.,,,
,DB:,"Okay. Thank you very much, Robert.",,,
,RP:,It's great and it was fun. A smart thing to be going into.,,,
,DB:,We'll see.,,,
[01:14:31],,end of audio,,,4471
